Pure Tag,Edited Version (if appl.) –,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,EO
Top-level,Top-level,,,,,,,,,,,,,1
Ambient,Ambient,Top-level,,,,,,,,,,,,2
Blues,Blues,Top-level,,,,,,,,,,,,3
Classical,Classical,Top-level,,,,,,,,,,,,4
Comedy,Comedy,Top-level,,,,,,,,,,,,5
Dance,Dance,Top-level,,,,,,,,,,,,6
Darkwave,Darkwave,Top-level,,,,,,,,,,,,7
Descriptor Genres,Descriptor Genres,Top-level,,,,,,,,,,,,8
Electronic,Electronic,Top-level,,,,,,,,,,,,9
EDM,EDM,Dance,Electronic,Top-level,,,,,,,,,,10
Experimental,Experimental,Top-level,,,,,,,,,,,,11
Field Recordings,Field Recordings,Top-level,,,,,,,,,,,,12
Folk,Folk,Top-level,,,,,,,,,,,,13
Hip Hop,Hip Hop,Top-level,,,,,,,,,,,,14
Industrial & Noise,Industrial & Noise,Top-level,,,,,,,,,,,,15
Jazz,Jazz,Top-level,,,,,,,,,,,,16
Rock,Rock,Top-level,,,,,,,,,,,,17
Metal,Metal,Rock,Top-level,,,,,,,,,,,18
Musical Theatre,Musical Theatre,Top-level,,,,,,,,,,,,19
New Age,New Age,Top-level,,,,,,,,,,,,20
No Genre,No Genre,Top-level,,,,,,,,,,,,21
Pop,Pop,Top-level,,,,,,,,,,,,22
Psych,Psych,Top-level,,,,,,,,,,,,23
Punk,Punk,Top-level,,,,,,,,,,,,24
R&B,R&B,Top-level,,,,,,,,,,,,25
Funk,Funk,R&B,Top-level,,,,,,,,,,,26
Soul,Soul,R&B,Top-level,,,,,,,,,,,27
Regional Music,Regional Music,Top-level,,,,,,,,,,,,28
Northern American Music,Northern American Music,Regional Music,,,,,,,,,,,,29
South American Music,South American Music,Regional Music,,,,,,,,,,,,30
Reggae / Ska / Dancehall,Reg / Sk / Dan,Top-level,,,,,,,,,,,,31
Country,Country,Northern American Music,Regional Music,Top-level,,,,,,,,,,32
Singer-Songwriter,Singer-Songwriter,Top-level,,,,,,,,,,,,33
Ska,Ska,Reggae / Ska / Dancehall,,,,,,,,,,,,34
Ambient Pop,Amb–ent P0p,Top-level,,,,,,,,,,,,35
Dark Cabaret,Dark C–baret,Top-level,,,,,,,,,,,,36
Easy Listening,Easy Listening,Top-level,,,,,,,,,,,,37
Mashup,Mashup,Top-level,,,,,,,,,,,,38
Visual kei,Visual kei,Top-level,,,,,,,,,,,,39
Shibuya-kei,Shibuya-kei,Top-level,,,,,,,,,,,,40
European Music,European Music,Regional Music,,,,,,,,,,,,41
Dance-Pop,Dance-Pop,Dance,Pop,,,,,,,,,,,42
2 Tone,2 Tone,Ska,Reggae / Ska / Dancehall,,,,,,,,,,,43
A cappella,A cappella,Descriptor Genres,,,,,,,,,,,,44
Abstract Hip Hop,Abstract Hip Hop,Hip Hop,,,,,,,,,,,,45
Acoustic Blues,Acoustic Blues,Blues,,,,,,,,,,,,46
