Top-level,Top-level,,,,,,,,,,,1,-
Ambient,Ambient,Top-level,,,,,,,,,,2,-
Blues,Blues,Top-level,,,,,,,,,,3,-
Classical,Classical,Top-level,,,,,,,,,,4,-
Comedy,Comedy,Top-level,,,,,,,,,,5,-
Dance,Dance,Top-level,,,,,,,,,,6,-
Darkwave,Darkwave,Top-level,,,,,,,,,,7,-
Descriptor Genres,Descriptor Genres,Top-level,,,,,,,,,,8,-
EDM,EDM,Top-level,,,,,,,,,,9,-
Electronic,Electronic,Top-level,,,,,,,,,,10,-
Experimental,Experimental,Top-level,,,,,,,,,,11,-
Field Recordings,Field Recordings,Top-level,,,,,,,,,,12,-
Folk,Folk,Top-level,,,,,,,,,,13,-
Hip Hop,Hip Hop,Top-level,,,,,,,,,,14,-
Industrial Music,Industrial Music,Top-level,,,,,,,,,,15,-
Jazz,Jazz,Top-level,,,,,,,,,,16,-
Metal,Metal,Top-level,,,,,,,,,,17,-
Musical Theatre,Musical Theatre,Top-level,,,,,,,,,,18,-
New Age,New Age,Top-level,,,,,,,,,,19,-
No Genre,No Genre,Top-level,,,,,,,,,,20,-
Pop,Pop,Top-level,,,,,,,,,,21,-
Psych,Psych,Top-level,,,,,,,,,,22,-
Punk,Punk,Top-level,,,,,,,,,,23,-
R&B,R&B,Top-level,,,,,,,,,,24,-
Regional Music,Regional Music,Top-level,,,,,,,,,,25,-
Country,Country,Top-level,Regional Music,,,,,,,,,26,-
Rock,Rock,Top-level,,,,,,,,,,27,-
Singer/Songwriter,Singer/Songwriter,Top-level,,,,,,,,,,28,-
Ska,Ska,Top-level,,,,,,,,,,29,-
Dance-Pop,Dance-Pop,Dance,Pop,,,,,,,,,30,-
2 Tone,2 Tone,Ska,,,,,,,,,,32,-
A cappella,A cappella,Descriptor Genres,,,,,,,,,,33,-
Abstract Hip Hop,Abstract Hip Hop,Hip Hop,,,,,,,,,,34,-
Acid Jazz,Acid Jazz,Jazz,,,,,,,,,,35,-
Acoustic Blues,Acoustic Blues,Blues,,,,,,,,,,36,-
Acoustic Rock,Acoustic Rock,Rock,,,,,,,,,,37,-
Adult Contemporary,Adult Contemporary,Pop,,,,,,,,,,38,-
African Music,African Music,Regional Music,,,,,,,,,,39,-
Alt Metal,Alt Metal,Metal,,,,,,,,,,40,-
Alt Rock,Alt Rock,Rock,,,,,,,,,,41,-
Alt-Country,Alt-Country,Country,,,,,,,,,,42,-
Alt-Pop,Alt-Pop,Pop,,,,,,,,,,43,-
Ambient Pop,Amb~*ent Pop,Pop,,,,,,,,,,44,-
Americana,Americana,Country,,,,,,,,,,45,-
Andean New Age,Andean New Age,New Age,,,,,,,,,,46,-
AOR,AOR,Rock,,,,,,,,,,47,-
Arabic Music,Arabic Music,Regional Music,,,,,,,,,,48,-
Art Pop,Art Pop,Pop,,,,,,,,,,49,-
Art Punk,Art Punk,Punk,,,,,,,,,,50,-
Art Rock,Art Rock,Rock,,,,,,,,,,51,-
