Nothing,Nothing,,,,,,,,,,,,,0
Top-level,Top-level,,,,,,,,,,,,,1
Ambient,Ambient,Top-level,,,,,,,,,,,,2
Blues,Blues,Top-level,,,,,,,,,,,,3
Classical,Classical,Top-level,,,,,,,,,,,,4
Comedy,Comedy,Top-level,,,,,,,,,,,,5
Dance,Dance,Top-level,,,,,,,,,,,,6
Darkwave,Darkwave,Top-level,,,,,,,,,,,,7
Descriptor Genres,Descriptor Genres,Top-level,,,,,,,,,,,,8
Electronic,Electronic,Top-level,,,,,,,,,,,,9
EDM,EDM,Dance,Electronic,Top-level,,,,,,,,,,10
Experimental,Experimental,Top-level,,,,,,,,,,,,11
Field Recordings,Field Recordings,Top-level,,,,,,,,,,,,12
Folk,Folk,Top-level,,,,,,,,,,,,13
Hip Hop,Hip Hop,Top-level,,,,,,,,,,,,14
Industrial Music,Industrial Music,Top-level,,,,,,,,,,,,15
Jazz,Jazz,Top-level,,,,,,,,,,,,16
Rock,Rock,Top-level,,,,,,,,,,,,17
Metal,Metal,Rock,Top-level,,,,,,,,,,,18
Musical Theatre,Musical Theatre,Top-level,,,,,,,,,,,,19
New Age,New Age,Top-level,,,,,,,,,,,,20
No Genre,No Genre,Top-level,,,,,,,,,,,,21
Pop,Pop,Top-level,,,,,,,,,,,,22
Psych,Psych,Top-level,,,,,,,,,,,,23
Punk,Punk,Top-level,,,,,,,,,,,,24
R&B,R&B,Top-level,,,,,,,,,,,,25
Funk,Funk,R&B,Top-level,,,,,,,,,,,26
Soul,Soul,R&B,Top-level,,,,,,,,,,,27
Regional Music,Regional Music,Top-level,,,,,,,,,,,,28
Northern American Music,Northern American Music,Regional Music,,,,,,,,,,,,29
Country,Country,Northern American Music,Regional Music,Top-level,,,,,,,,,,30
Singer-Songwriter,Singer-Songwriter,Top-level,,,,,,,,,,,,31
Ska,Ska,Top-level,,,,,,,,,,,,32
European Music,European Music,Regional Music,,,,,,,,,,,,33
Dance-Pop,Dance-Pop,Dance,Pop,,,,,,,,,,,34
2 Tone,2 Tone,Ska,,,,,,,,,,,,35
A cappella,A cappella,Descriptor Genres,,,,,,,,,,,,36
Abstract Hip Hop,Abstract Hip Hop,Hip Hop,,,,,,,,,,,,37
Acoustic Blues,Acoustic Blues,Blues,,,,,,,,,,,,38
Acoustic Rock,Acoustic Rock,Rock,,,,,,,,,,,,39
Adult Contemporary,Adult Contemporary,Pop,,,,,,,,,,,,40
African Music,African Music,Regional Music,,,,,,,,,,,,41
Alternative Metal,Alternative Metal,Metal,Rock,,,,,,,,,,,42
Alternative Rock,Alternative Rock,Rock,,,,,,,,,,,,43
Alt-Country,Alt-Country,Country,Northern American Music,Regional Music,,,,,,,,,,44
Alt-Pop,Alt-Pop,Pop,,,,,,,,,,,,45
Ambient Pop,Amb–ent Pop,Pop,,,,,,,,,,,,46
Americana,Americana,Northern American Music,Regional Music,,,,,,,,,,,47
Andean New Age,Andean New Age,New Age,,,,,,,,,,,,48
AOR,AOR,Rock,,,,,,,,,,,,49
Arabic Music,Arabic Music,Regional Music,,,,,,,,,,,,50
Art Pop,Art Pop,Pop,,,,,,,,,,,,51
Art Punk,Art Punk,Punk,,,,,,,,,,,,52
Art Rock,Art Rock,Rock,,,,,,,,,,,,53
Avant-Garde Jazz,Avant-Garde Jazz,Jazz,,,,,,,,,,,,54
Avant-Garde Metal,Avant-Garde Metal,Metal,Rock,,,,,,,,,,,55
Balkan Music,Balkan Music,Regional Music,European Music,,,,,,,,,,,56
Baroque Pop,Baroque Pop,Pop,,,,,,,,,,,,57
Bebop,Bebop,Jazz,,,,,,,,,,,,58
Big Band,Big Band,Jazz,,,,,,,,,,,,59
Bit Music,Bit Music,Electronic,,,,,,,,,,,,60
Black Metal,Black Metal,Metal,Rock,,,,,,,,,,,61
Blue-Eyed Soul,Blue-Eyed S0ul,Pop,,,,,,,,,,,,62
Blues Rock,Bl–es Rock,Rock,,,,,,,,,,,,63
Boy Band,Boy Band,Pop,,,,,,,,,,,,64
Brazilian Music,Brazilian Music,Regional Music,,,,,,,,,,,,65
Breakbeat,Breakbeat,EDM,Dance,Electronic,,,,,,,,,,66
Brill Building,Brill Building,Pop,,,,,,,,,,,,67
Bubblegum,B–bblegum,Pop,,,,,,,,,,,,68
Bubblegum Bass,Bubblegum Bass,EDM,Dance,Electronic,,,,,,,,,,69
C-Pop,C-Pop,Pop,,,,,,,,,,,,70
Caribbean Music,Caribbean Music,Regional Music,,,,,,,,,,,,71
Cartoon Music,Cartoon Music,Jazz,,,,,,,,,,,,72
Celtic New Age,Celtic New Age,New Age,European Music,Regional Music,,,,,,,,,,73
Chamber Jazz,Chamber Jazz,Jazz,,,,,,,,,,,,74
Chanson,Chanson,Regional Music,European Music,,,,,,,,,,,75
Children's Music,Children's Music,Descriptor Genres,,,,,,,,,,,,76
Christian Hip Hop,Christian Hip Hop,Hip Hop,,,,,,,,,,,,77
Christian Rock,Christian Rock,Rock,,,,,,,,,,,,78
Cinematic Classical,Cinematic Classical,Classical,,,,,,,,,,,,79
Cloud Rap,Cloud Rap,Hip Hop,,,,,,,,,,,,80
Conscious Hip Hop,Conscious Hip Hop,Hip Hop,,,,,,,,,,,,81
Contemporary Country,Contemporary Country,Country,Northern American Music,Regional Music,,,,,,,,,,82
Contemporary Folk,Contemporary Folk,Folk,,,,,,,,,,,,83
Contemporary R&B,Contemporary R&B,R&B,,,,,,,,,,,,84
Cool Jazz,Cool Jazz,Jazz,,,,,,,,,,,,85
Country Rock,C0untry Rock,Rock,,,,,,,,,,,,86
Crunk,Crunk,Hip Hop,,,,,,,,,,,,87
Dark Cabaret,Dark C–baret,Rock,,,,,,,,,,,,88
Dark Jazz,Dark Jazz,Jazz,,,,,,,,,,,,89
Death Metal,Death Metal,Metal,Rock,,,,,,,,,,,90
Dirty South,Dirty South,Hip Hop,,,,,,,,,,,,91
Disco,Disco,Dance,,,,,,,,,,,,92
Disco Rap,D–sco Rap,Hip Hop,,,,,,,,,,,,93
Dixieland,Dixieland,Jazz,,,,,,,,,,,,94
Doo-Wop,Doo-Wop,R&B,,,,,,,,,,,,95
Doom Metal,Doom Metal,Metal,Rock,,,,,,,,,,,96
Downtempo,Downtempo,Electronic,,,,,,,,,,,,97
Drone,Drone,Experimental,,,,,,,,,,,,98
Drone Metal,Dr0ne Metal,Metal,Rock,,,,,,,,,,,99
Drum and Bass,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,,100
Dubstep,Dubstep,EDM,Dance,Electronic,,,,,,,,,,101
East Asian Music,East Asian Music,Regional Music,,,,,,,,,,,,102
East Coast Hip Hop,East Coast Hip Hop,Hip Hop,,,,,,,,,,,,103
Easy Listening,Easy Listening,Pop,,,,,,,,,,,,104
ECM Style Jazz,ECM Style Jazz,Jazz,,,,,,,,,,,,105
Electric Blues,Electric Blues,Blues,,,,,,,,,,,,106
Electro,Electr0,EDM,Dance,Electronic,,,,,,,,,,107
Electroclash,Electroclash,EDM,Dance,Electronic,,,,,,,,,,108
Emo,Emo,Punk,,,,,,,,,,,,109
Emo Rap,Em0 Rap,Hip Hop,,,,,,,,,,,,110
Ethereal Wave,Ethereal Wave,Darkwave,,,,,,,,,,,,111
Europop,Europop,Pop,,,,,,,,,,,,112
Experimental Hip Hop,Exp–rimental Hip Hop,Hip Hop,,,,,,,,,,,,113
Experimental Rock,Exp–rimental Rock,Rock,,,,,,,,,,,,114
Folk Metal,F0lk Metal,Metal,Rock,,,,,,,,,,,115
Folk Rock,F0lk Rock,Rock,,,,,,,,,,,,116
Folktronica,F0lktronica,Electronic,,,,,,,,,,,,117
Free Improvisation,Free Improvisation,Experimental,,,,,,,,,,,,118
French Pop,French Pop,Pop,,,,,,,,,,,,119
Acid Jazz,Acid Jazz,Funk,R&B,,,,,,,,,,,120
Funk Rock,F–nk Rock,Rock,,,,,,,,,,,,121
Funktronica,F–nktronica,EDM,Dance,Electronic,,,,,,,,,,122
Future Bass,Future Bass,EDM,Dance,Electronic,,,,,,,,,,123
G-Funk,G-F–nk,Hip Hop,,,,,,,,,,,,124
Garage Rock,Garage Rock,Rock,,,,,,,,,,,,125
Girl Group,Girl Group,Pop,,,,,,,,,,,,126
Glam Rock,Glam Rock,Rock,,,,,,,,,,,,127
Glitch Hop,Glitch Hop,Electronic,,,,,,,,,,,,128
Greek Music,Greek Music,Regional Music,European Music,,,,,,,,,,,129
Grime,Grime,EDM,Dance,Electronic,,,,,,,,,,130
Groove Metal,Groove Metal,Metal,Rock,,,,,,,,,,,131
Hard Rock,Hard Rock,Rock,,,,,,,,,,,,132
Hardcore [EDM],Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,,,133
Hardcore [Punk],Hardcore [Punk],Punk,Rock,,,,,,,,,,,134
Hardcore Hip Hop,Hardcore Hip Hop,Hip Hop,,,,,,,,,,,,135
Heartland Rock,Heartland Rock,Rock,,,,,,,,,,,,136
Heavy Metal,Heavy Metal,Metal,Rock,,,,,,,,,,,137
HexD,HexD,Electronic,,,,,,,,,,,,138
Hispanic Music,Hispanic Music,Regional Music,,,,,,,,,,,,139
Holiday Music,Holiday Music,Descriptor Genres,,,,,,,,,,,,140
Honky Tonk,Honky Tonk,Country,Northern American Music,Regional Music,,,,,,,,,,141
House,House,EDM,Dance,Electronic,,,,,,,,,,142
Hyphy,Hyphy,Hip Hop,,,,,,,,,,,,143
IDM,IDM,Electronic,,,,,,,,,,,,144
Illbient,Illbient,Electronic,,,,,,,,,,,,145
Indie Pop,Indie Pop,Pop,,,,,,,,,,,,146
Indietronica,Indietronica,Electronic,,,,,,,,,,,,147
Instrumental Hip Hop,Instrumental Hip Hop,Hip Hop,,,,,,,,,,,,148
J-Pop,J-Pop,Pop,,,,,,,,,,,,149
Japanese Hip Hop,Japanese Hip Hop,Hip Hop,,,,,,,,,,,,150
Jazz Fusion,Jazz Fusion,Jazz,,,,,,,,,,,,151
Jazz Pop,J–zz Pop,Pop,,,,,,,,,,,,152
Jazz Rap,J–zz Rap,Hip Hop,,,,,,,,,,,,153
Jazz-Rock,J–zz-Rock,Rock,,,,,,,,,,,,154
K-Pop,K-Pop,Pop,,,,,,,,,,,,155
Latin Rap,Latin Rap,Hip Hop,,,,,,,,,,,,156
Mashup,Mashup,Descriptor Genres,,,,,,,,,,,,157
Math Rock,Math Rock,Rock,,,,,,,,,,,,158
Miami Bass,Miami Bass,Hip Hop,Dance,,,,,,,,,,,159
Minimal Wave,Minimal Wave,Electronic,,,,,,,,,,,,160
Mobb Music,Mobb Music,Hip Hop,,,,,,,,,,,,161
Mod,M0d,Rock,,,,,,,,,,,,162
Modal Jazz,Modal Jazz,Jazz,,,,,,,,,,,,163
Modern Classical,Modern Classical,Classical,,,,,,,,,,,,164
Moombahton,Moombahton,EDM,Dance,Electronic,,,,,,,,,,165
Musical Comedy,Musical Comedy,Comedy,,,,,,,,,,,,166
Musical Parody,Musical Parody,Descriptor Genres,,,,,,,,,,,,167
Nature Recordings,Nature Recordings,Field Recordings,,,,,,,,,,,,168
Neo-Psychedelia,Neo-Psychedelia,Psych,,,,,,,,,,,,169
Neoclassical Darkwave,Neocl–ssical Darkwave,Darkwave,,,,,,,,,,,,170
Neoclassical New Age,Neocl–ssical New Age,New Age,,,,,,,,,,,,171
Nerdcore,Nerdcore,Hip Hop,,,,,,,,,,,,172
New Orleans Blues,New Orleans Blues,Blues,,,,,,,,,,,,173
New Orleans R&B,New Orleans R&B,R&B,,,,,,,,,,,,174
New Wave,New Wave,Rock,,,,,,,,,,,,175
Nightcore,Nightcore,Electronic,,,,,,,,,,,,176
Noise,Noise,Experimental,,,,,,,,,,,,177
Noise Rock,N0ise Rock,Rock,,,,,,,,,,,,178
Novelty,Novelty,Descriptor Genres,,,,,,,,,,,,179
Nu Jazz,Nu J–zz,Electronic,,,,,,,,,,,,180
Palingsound,Palingsound,Pop,,,,,,,,,,,,181
