Top-level,Top-level,,,,,,,,,,,1
Ambient,Ambient,Top-level,,,,,,,,,,2
Blues,Blues,Top-level,,,,,,,,,,3
Classical,Classical,Top-level,,,,,,,,,,4
Comedy,Comedy,Top-level,,,,,,,,,,5
Dance,Dance,Top-level,,,,,,,,,,6
Darkwave,Darkwave,Top-level,,,,,,,,,,7
Descriptor Genres,Descriptor Genres,Top-level,,,,,,,,,,8
EDM,EDM,Top-level,,,,,,,,,,9
Electronic,Electronic,Top-level,,,,,,,,,,10
Experimental,Experimental,Top-level,,,,,,,,,,11
Field Recordings,Field Recordings,Top-level,,,,,,,,,,12
Folk,Folk,Top-level,,,,,,,,,,13
Hip Hop,Hip Hop,Top-level,,,,,,,,,,14
Industrial Music,Industrial Music,Top-level,,,,,,,,,,15
Jazz,Jazz,Top-level,,,,,,,,,,16
Metal,Metal,Top-level,,,,,,,,,,17
Musical Theatre,Musical Theatre,Top-level,,,,,,,,,,18
New Age,New Age,Top-level,,,,,,,,,,19
No Genre,No Genre,Top-level,,,,,,,,,,20
Pop,Pop,Top-level,,,,,,,,,,21
Psych,Psych,Top-level,,,,,,,,,,22
Punk,Punk,Top-level,,,,,,,,,,23
R&B,R&B,Top-level,,,,,,,,,,24
Regional Music,Regional Music,Top-level,,,,,,,,,,25
Country,Country,Top-level,Regional Music,,,,,,,,,26
Rock,Rock,Top-level,,,,,,,,,,27
Singer-Songwriter,Singer-Songwriter,Top-level,,,,,,,,,,28
Ska,Ska,Top-level,,,,,,,,,,29
Dance-Pop,Dance-Pop,Dance,Pop,,,,,,,,,30
2 Tone,2 Tone,Ska,,,,,,,,,,31
A cappella,A cappella,Descriptor Genres,,,,,,,,,,32
Abstract Hip Hop,Abstract Hip Hop,Hip Hop,,,,,,,,,,33
Acoustic Blues,Acoustic Blues,Blues,,,,,,,,,,34
Acoustic Rock,Acoustic Rock,Rock,,,,,,,,,,35
Adult Contemporary,Adult Contemporary,Pop,,,,,,,,,,36
African Music,African Music,Regional Music,,,,,,,,,,37
Alt Metal,Alt Metal,Metal,,,,,,,,,,38
Alt Rock,Alt Rock,Rock,,,,,,,,,,39
Alt-Country,Alt-Country,Country,,,,,,,,,,40
Alt-Pop,Alt-Pop,Pop,,,,,,,,,,41
Ambient Pop,Amb–ent Pop,Pop,,,,,,,,,,42
Americana,Americana,Country,,,,,,,,,,43
Andean New Age,Andean New Age,New Age,,,,,,,,,,44
AOR,AOR,Rock,,,,,,,,,,45
Arabic Music,Arabic Music,Regional Music,,,,,,,,,,46
Art Pop,Art Pop,Pop,,,,,,,,,,47
Art Punk,Art Punk,Punk,,,,,,,,,,48
Art Rock,Art Rock,Rock,,,,,,,,,,49
Avant-Garde Jazz,Avant-Garde Jazz,Jazz,,,,,,,,,,50
Avant-Garde Metal,Avant-Garde Metal,Metal,,,,,,,,,,51
Balkan Music,Balkan Music,Regional Music,,,,,,,,,,52
Baroque Pop,Baroque Pop,Pop,,,,,,,,,,53
Bebop,Bebop,Jazz,,,,,,,,,,54
Big Band,Big Band,Jazz,,,,,,,,,,55
Bit Music,Bit Music,Electronic,,,,,,,,,,56
Black Metal,Black Metal,Metal,,,,,,,,,,57
Blue-Eyed Soul,Blue-Eyed S0ul,Pop,,,,,,,,,,58
Blues Rock,Bl–es Rock,Rock,,,,,,,,,,59
Boy Band,Boy Band,Pop,,,,,,,,,,60
Brazilian Music,Brazilian Music,Regional Music,,,,,,,,,,61
Breakbeat,Breakbeat,EDM,,,,,,,,,,62
Brill Building,Brill Building,Pop,,,,,,,,,,63
Bubblegum,B–bblegum,Pop,,,,,,,,,,64
Bubblegum Bass,Bubblegum Bass,EDM,,,,,,,,,,65
C-Pop,C-Pop,Pop,,,,,,,,,,66
Caribbean Music,Caribbean Music,Regional Music,,,,,,,,,,67
Cartoon Music,Cartoon Music,Jazz,,,,,,,,,,68
Celtic New Age,Celtic New Age,New Age,,,,,,,,,,69
Chamber Jazz,Chamber Jazz,Jazz,,,,,,,,,,70
Chanson,Chanson,Regional Music,,,,,,,,,,71
Children's Music,Children's Music,Descriptor Genres,,,,,,,,,,72
Christian Hip Hop,Christian Hip Hop,Hip Hop,,,,,,,,,,73
Christian Rock,Christian Rock,Rock,,,,,,,,,,74
Cinematic Classical,Cinematic Classical,Classical,,,,,,,,,,75
Cloud Rap,Cloud Rap,Hip Hop,,,,,,,,,,76
Conscious Hip Hop,Conscious Hip Hop,Hip Hop,,,,,,,,,,77
Contemporary Country,Contemporary Country,Country,,,,,,,,,,78
Contemporary Folk,Contemporary Folk,Folk,,,,,,,,,,79
Contemporary R&B,Contemporary R&B,R&B,,,,,,,,,,80
Cool Jazz,Cool Jazz,Jazz,,,,,,,,,,81
Country Rock,C0untry Rock,Rock,,,,,,,,,,82
Crunk,Crunk,Hip Hop,,,,,,,,,,83
Dark Cabaret,Dark C–baret,Rock,,,,,,,,,,84
Dark Jazz,Dark Jazz,Jazz,,,,,,,,,,85
Death Metal,Death Metal,Metal,,,,,,,,,,86
Dirty South,Dirty South,Hip Hop,,,,,,,,,,87
Disco,Disco,Dance,,,,,,,,,,88
Disco Rap,D–sco Rap,Hip Hop,,,,,,,,,,89
Dixieland,Dixieland,Jazz,,,,,,,,,,90
Doo-Wop,Doo-Wop,R&B,,,,,,,,,,91
Doom Metal,Doom Metal,Metal,,,,,,,,,,92
Downtempo,Downtempo,Electronic,,,,,,,,,,93
Drone (Experimental),Drone (Experimental),Experimental,,,,,,,,,,94
Drone Metal,Drone Metal,Metal,,,,,,,,,,95
Drum and Bass,Drum and Bass,EDM,,,,,,,,,,96
Dubstep,Dubstep,EDM,,,,,,,,,,97
East Asian Music,East Asian Music,Regional Music,,,,,,,,,,98
East Coast Hip Hop,East Coast Hip Hop,Hip Hop,,,,,,,,,,99
Easy Listening,Easy Listening,Pop,,,,,,,,,,100
ECM Style Jazz,ECM Style Jazz,Jazz,,,,,,,,,,101
Electric Blues,Electric Blues,Blues,,,,,,,,,,102
Electro (EDM),Electro (EDM),EDM,,,,,,,,,,103
Electroclash,Electroclash,EDM,,,,,,,,,,104
Emo,Emo,Punk,,,,,,,,,,105
Emo Rap,Em0 Rap,Hip Hop,,,,,,,,,,106
Ethereal Wave,Ethereal Wave,Darkwave,,,,,,,,,,107
Europop,Europop,Pop,,,,,,,,,,108
Experimental Hip Hop,Exp–rimental Hip Hop,Hip Hop,,,,,,,,,,109
Experimental Rock,Exp–rimental Rock,Rock,,,,,,,,,,110
Folk Metal,F0lk Metal,Metal,,,,,,,,,,111
Folk Rock,F0lk Rock,Rock,,,,,,,,,,112
Folktronica,F0lktronica,Electronic,,,,,,,,,,113
Free Improvisation,Free Improvisation,Experimental,,,,,,,,,,114
French Pop,French Pop,Pop,,,,,,,,,,115
Funk,Funk,R&B,Top-level,,,,,,,,,116
Acid Jazz,Acid Jazz,Funk,R&B,,,,,,,,,117
Funk Rock,F–nk Rock,Rock,,,,,,,,,,118
Funktronica,F–nktronica,EDM,,,,,,,,,,119
Future Bass,Future Bass,EDM,,,,,,,,,,120
G-Funk,G-F–nk,Hip Hop,,,,,,,,,,121
Garage Rock,Garage Rock,Rock,,,,,,,,,,122
Girl Group,Girl Group,Pop,,,,,,,,,,123
Glam Rock,Glam Rock,Rock,,,,,,,,,,124
Glitch Hop,Glitch Hop,Electronic,,,,,,,,,,125
Greek Music,Greek Music,Regional Music,,,,,,,,,,126
Grime,Grime,EDM,,,,,,,,,,127
Groove Metal,Groove Metal,Metal,,,,,,,,,,128
Hard Rock,Hard Rock,Rock,,,,,,,,,,129
Hardcore (EDM),Hardcore (EDM),EDM,,,,,,,,,,130
Hardcore (Punk),Hardcore (Punk),Punk,Rock,,,,,,,,,131
Hardcore Hip Hop,Hardcore Hip Hop,Hip Hop,,,,,,,,,,132
Heartland Rock,Heartland Rock,Rock,,,,,,,,,,133
Heavy Metal,Heavy Metal,Metal,,,,,,,,,,134
HexD,HexD,Electronic,,,,,,,,,,135
Hispanic Music,Hispanic Music,Regional Music,,,,,,,,,,136
Holiday Music,Holiday Music,Descriptor Genres,,,,,,,,,,137
Honky Tonk,Honky Tonk,Country,,,,,,,,,,138
House,House,EDM,,,,,,,,,,139
Hyphy,Hyphy,Hip Hop,,,,,,,,,,140
IDM,IDM,Electronic,,,,,,,,,,141
Illbient,Illbient,Electronic,,,,,,,,,,142
Indie Pop,Indie Pop,Pop,,,,,,,,,,143
Indietronica,Indietronica,Electronic,,,,,,,,,,144
Instrumental Hip Hop,Instrumental Hip Hop,Hip Hop,,,,,,,,,,145
J-Pop,J-Pop,Pop,,,,,,,,,,146
Japanese Hip Hop,Japanese Hip Hop,Hip Hop,,,,,,,,,,147
Jazz Fusion,Jazz Fusion,Jazz,,,,,,,,,,148
Jazz Pop,J–zz Pop,Pop,,,,,,,,,,149
Jazz Rap,J–zz Rap,Hip Hop,,,,,,,,,,150
Jazz-Rock,J–zz-Rock,Rock,,,,,,,,,,151
K-Pop,K-Pop,Pop,,,,,,,,,,152
Latin Rap,Latin Rap,Hip Hop,,,,,,,,,,153
Mashup,Mashup,Descriptor Genres,,,,,,,,,,154
Math Rock,Math Rock,Rock,,,,,,,,,,155
Miami Bass,Miami Bass,Hip Hop,Dance,,,,,,,,,156
Minimal Wave,Minimal Wave,Electronic,,,,,,,,,,157
Mobb Music,Mobb Music,Hip Hop,,,,,,,,,,158
Mod,M0d,Rock,,,,,,,,,,159
Modal Jazz,Modal Jazz,Jazz,,,,,,,,,,160
Modern Classical,Modern Classical,Classical,,,,,,,,,,161
Moombahton,Moombahton,EDM,,,,,,,,,,162
Musical Comedy,Musical Comedy,Comedy,,,,,,,,,,163
Musical Parody,Musical Parody,Descriptor Genres,,,,,,,,,,164
Nature Recordings,Nature Recordings,Field Recordings,,,,,,,,,,165
Neo-Psychedelia,Neo-Psychedelia,Psych,,,,,,,,,,166
Neoclassical Darkwave,Neocl–ssical Darkwave,Darkwave,,,,,,,,,,167
Neoclassical New Age,Neocl–ssical New Age,New Age,,,,,,,,,,168
Nerdcore,Nerdcore,Hip Hop,,,,,,,,,,169
New Orleans Blues,New Orleans Blues,Blues,,,,,,,,,,170
New Orleans R&B,New Orleans R&B,R&B,,,,,,,,,,171
New Wave,New Wave,Rock,,,,,,,,,,172
Nightcore,Nightcore,Electronic,,,,,,,,,,173
Noise,Noise,Experimental,,,,,,,,,,174
Noise Rock,N0ise Rock,Rock,,,,,,,,,,175
Novelty,Novelty,Descriptor Genres,,,,,,,,,,176
Nu Jazz,Nu J–zz,Electronic,,,,,,,,,,177
Palingsound,Palingsound,Pop,,,,,,,,,,178
Piano Blues,Piano Blues,Blues,,,,,,,,,,179
Plunderphonics,Plunderphonics,Experimental,,,,,,,,,,180
Political Hip Hop,Political Hip Hop,Hip Hop,,,,,,,,,,181
Polynesian Music,Polynesian Music,Regional Music,,,,,,,,,,182
Pop Rap,P0p Rap,Hip Hop,,,,,,,,,,183
Post-Bop,Post-Bop,Jazz,,,,,,,,,,184
Post-Hardcore,Post-Hardcore,Punk,,,,,,,,,,185
Post-Industrial,Post-Industrial,Industrial Music,,,,,,,,,,186
Post-Metal,Post-Metal,Metal,,,,,,,,,,187
Post-Punk,Post-Punk,Punk,,,,,,,,,,188
Post-Rock,Post-Rock,Rock,,,,,,,,,,189
Power Metal,Power Metal,Metal,,,,,,,,,,190
Prog Rock,Prog Rock,Rock,,,,,,,,,,191
Progressive Country,Progressive Country,Country,,,,,,,,,,192
Progressive Electronic,Progressive Electronic,Electronic,,,,,,,,,,193
Progressive Metal,Progressive Metal,Metal,,,,,,,,,,194
Progressive Pop,Progressive Pop,Pop,,,,,,,,,,195
Proto-Punk,Proto-Punk,Punk,,,,,,,,,,196
Psybient,Psybient,Electronic,,,,,,,,,,197
Pub Rock,Pub Rock,Rock,,,,,,,,,,198
Rap Rock,Rap Rock,Rock,,,,,,,,,,199
