Pure Tag,Edited Version (if appl.) –,I. Parents,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Top-level,Top-level,,,,,,,,,,,,,
Ambient,Ambient,Top-level,Top-level,,,,,,,,,,,
Blues,Blues,Top-level,Top-level,,,,,,,,,,,
Classical,Classical,Top-level,Top-level,,,,,,,,,,,
Comedy,Comedy,Top-level,Top-level,,,,,,,,,,,
Dance,Dance,Top-level,Top-level,,,,,,,,,,,
Darkwave,Darkwave,Top-level,Top-level,,,,,,,,,,,
Descriptor Genres,Descriptor Genres,Top-level,Top-level,,,,,,,,,,,
Electronic,Electronic,Top-level,Top-level,,,,,,,,,,,
EDM,EDM,Top-level,Dance,Electronic,Top-level,,,,,,,,,
Experimental,Experimental,Top-level,Top-level,,,,,,,,,,,
Field Recordings,Field Recordings,Top-level,Top-level,,,,,,,,,,,
Folk,Folk,Top-level,Top-level,,,,,,,,,,,
Hip Hop,Hip Hop,Top-level,Top-level,,,,,,,,,,,
Industrial & Noise,Industrial & Noise,Top-level,Top-level,,,,,,,,,,,
Jazz,Jazz,Top-level,Top-level,,,,,,,,,,,
Rock,Rock,Top-level,Top-level,,,,,,,,,,,
Metal,Metal,Top-level,Rock,Top-level,,,,,,,,,,
Musical Theatre,Musical Theatre,Top-level,Top-level,,,,,,,,,,,
New Age,New Age,Top-level,Top-level,,,,,,,,,,,
No Genre,No Genre,Top-level,Top-level,,,,,,,,,,,
Pop,Pop,Top-level,Top-level,,,,,,,,,,,
Psych,Psych,Top-level,Top-level,,,,,,,,,,,
Punk,Punk,Top-level,Top-level,,,,,,,,,,,
R&B,R&B,Top-level,Top-level,,,,,,,,,,,
Funk,Funk,R&B,R&B,Top-level,,,,,,,,,,
Soul,Soul,R&B,R&B,Top-level,,,,,,,,,,
Scenes & Movements,Scenes & Movements,Top-level,Top-level,,,,,,,,,,,
Regional Music,Regional Music,Top-level,Top-level,,,,,,,,,,,
Northern American Music,Northern American Music,Regional Music,Regional Music,,,,,,,,,,,
South American Music,South American Music,Regional Music,Regional Music,,,,,,,,,,,
Asian Music,Asian Music,Regional Music,Regional Music,,,,,,,,,,,
Reggae / Ska / Dancehall,Reg / Sk / Dan,Top-level,Top-level,,,,,,,,,,,
Country,Country,Northern American Music,Northern American Music,Regional Music,Top-level,,,,,,,,,
Singer-Songwriter,Singer-Songwriter,Top-level,Top-level,,,,,,,,,,,
Ska,Ska,Reggae / Ska / Dancehall,Reggae / Ska / Dancehall,,,,,,,,,,,
Ambient Pop,Amb–ent P0p,Top-level,Top-level,,,,,,,,,,,
Dark Cabaret,Dark C–baret,Top-level,Top-level,,,,,,,,,,,
Easy Listening,Easy Listening,Top-level,Top-level,,,,,,,,,,,
Mashup,Mashup,Top-level,Top-level,,,,,,,,,,,
Visual kei,Visual kei,Top-level,Top-level,,,,,,,,,,,
Shibuya-kei,Shibuya-kei,Scenes & Movements,Scenes & Movements,,,,,,,,,,,
European Music,European Music,Regional Music,Regional Music,,,,,,,,,,,
Dance-Pop,Dance-Pop,Dance; Pop,Dance,Pop,,,,,,,,,,
2 Tone,2 Tone,Ska,Ska,Reggae / Ska / Dancehall,,,,,,,,,,
A cappella,A cappella,Descriptor Genres,Descriptor Genres,,,,,,,,,,,
Abstract Hip Hop,Abstract Hip Hop,Hip Hop,Hip Hop,,,,,,,,,,,
Acoustic Blues,Acoustic Blues,Blues,Blues,,,,,,,,,,,
Acoustic Rock,Acoustic Rock,Rock,Rock,,,,,,,,,,,
Adult Contemporary,Adult Contemporary,Pop,Pop,,,,,,,,,,,
African Music,African Music,Regional Music,Regional Music,,,,,,,,,,,
Alternative Metal,Alternative Metal,Metal,Metal,Rock,,,,,,,,,,
Alternative Rock,Alternative Rock,Rock,Rock,,,,,,,,,,,
Alt-Country,Alt-Country,Country,Country,Northern American Music,Regional Music,,,,,,,,,
Alt-Pop,Alt-Pop,Pop,Pop,,,,,,,,,,,
Americana,Americana,Northern American Music,Northern American Music,Regional Music,,,,,,,,,,
Andean New Age,Andean New Age,New Age,New Age,,,,,,,,,,,
AOR,AOR,Rock,Rock,,,,,,,,,,,
Arabic Music,Arabic Music,Regional Music,Regional Music,,,,,,,,,,,
Art Pop,Art Pop,Pop,Pop,,,,,,,,,,,
Art Punk,Art Punk,Punk,Punk,,,,,,,,,,,
Art Rock,Art Rock,Rock,Rock,,,,,,,,,,,
Avant-Garde Jazz,Avant-Garde Jazz,Jazz,Jazz,,,,,,,,,,,
Avant-Garde Metal,Avant-Garde Metal,Metal,Metal,Rock,,,,,,,,,,
Balkan Music,Balkan Music,Regional Music,Regional Music,European Music,,,,,,,,,,
Baroque Pop,Baroque Pop,Pop,Pop,,,,,,,,,,,
Bebop,Bebop,Jazz,Jazz,,,,,,,,,,,
Big Band,Big Band,Jazz,Jazz,,,,,,,,,,,
Bit Music,Bit Music,Electronic,Electronic,,,,,,,,,,,
Black Metal,Black Metal,Metal,Metal,Rock,,,,,,,,,,
Blue-Eyed Soul,Blue-Eyed S0ul,Pop,Pop,,,,,,,,,,,
Blues Rock,Bl–es Rock,Rock,Rock,,,,,,,,,,,
Boy Band,Boy Band,Pop,Pop,,,,,,,,,,,
Brazilian Music,Brazilian Music,South American Music,South American Music,Regional Music,,,,,,,,,,
Breakbeat,Breakbeat,EDM,EDM,Dance,Electronic,,,,,,,,,
Brill Building,Brill Building,Pop,Pop,,,,,,,,,,,
Bubblegum,B–bblegum,Pop,Pop,,,,,,,,,,,
Bubblegum Bass,Bubblegum Bass,EDM,EDM,Dance,Electronic,,,,,,,,,
C-Pop,C-Pop,Pop,Pop,,,,,,,,,,,
Caribbean Music,Caribbean Music,Regional Music,Regional Music,,,,,,,,,,,
Cartoon Music,Cartoon Music,Jazz,Jazz,,,,,,,,,,,
Celtic New Age,Celtic New Age,New Age; European Music,New Age,European Music,Regional Music,,,,,,,,,
Chamber Jazz,Chamber Jazz,Jazz,Jazz,,,,,,,,,,,
Chanson,Chanson,European Music,Regional Music,European Music,,,,,,,,,,
Children's Music,Children's Music,Descriptor Genres,Descriptor Genres,,,,,,,,,,,
CCM,CCM,Scenes & Movements,,,,,,,,,,,,
Christian Hip Hop,Christian Hip Hop,CCM; Hip Hop,CCM,Hip Hop,Scenes & Movements,,,,,,,,,
Christian Rock,Christian Rock,CCM; Rock,CCM,Rock,Scenes & Movements,,,,,,,,,
Cinematic Classical,Cinematic Classical,Classical,Classical,,,,,,,,,,,
Cloud Rap,Cloud Rap,Hip Hop,Hip Hop,,,,,,,,,,,
Conscious Hip Hop,Conscious Hip Hop,Hip Hop,Hip Hop,,,,,,,,,,,
Contemporary Country,Contemporary Country,Country,Country,Northern American Music,Regional Music,,,,,,,,,
Contemporary Folk,Contemporary Folk,Folk,Folk,,,,,,,,,,,
