Old-Time,Old-Time,Appalachian Folk Music,,,,,,,,,,,,1
Swancore,Swancore,Post-Hardcore,,,,,,,,,,,,1
Epic Doom Metal,Epic Doom Metal,Traditional Doom Metal,,,,,,,,,,,,1
US Power Metal,US P0wer Metal,Heavy Metal,,,,,,,,,,,,1
Technical Thrash Metal,Technical Thrash Metal,Thrash Metal,,,,,,,,,,,,1
Crossover Thrash,Crossover Thrash,Thrash Metal,Hardcore Punk,,,,,,,,,,,1
Space Rock Revival,Space Rock Revival,Neo-Psychedelia,Space Rock,,,,,,,,,,,1
Mutant Disco,Mutant Disco,Disco,,,,,,,,,,,,1
Songhai Music,Songhai Music,West African Music,,,,,,,,,,,,1
Speedcore,Speedcore,Hardcore [EDM],,,,,,,,,,,,1
J-core,J-core,Hardcore [EDM],,,,,,,,,,,,1
Mid-School Hip Hop,Mid-School Hip Hop,Hardcore Hip Hop,,,,,,,,,,,,1
Denpa,Denpa,Pop,,,,,,,,,,,,1
MIDI Music,MIDI Music,Bit Music,,,,,,,,,,,,1
Extratone,Extratone,Speedcore,,,,,,,,,,,,1
Trap Soul,Trap S0ul,Trap,Contemporary R&B,,,,,,,,,,,1
South American Music,South American Music,Regional Music,,,,,,,,,,,,1
Chilean Music,Chilean Music,South American Music,,,,,,,,,,,,1
Nueva canción chilena,Nueva canción chilena,Nueva canción latinoamericana,Chilean Music,,,,,,,,,,,1
Urban Cowboy,Urban C0wboy,Country Pop,,,,,,,,,,,,1
Canadian Folk Music,Canadian Folk Music,Traditional Folk,Northern American Music,,,,,,,,,,,1
Canadian Maritime Folk,Canadian Maritime Folk,Canadian Folk Music,,,,,,,,,,,,1
Moogsploitation,Moogsploitation,Electronic,,,,,,,,,,,,1
Chillout,Chillout,Electronic,,,,,,,,,,,,1
Midtempo Bass,Midtempo Bass,EDM,,,,,,,,,,,,1
Melodic Hardcore,Melodic Hardcore,Hardcore Punk,,,,,,,,,,,,1
