2,Amb~*ent Techno,EDM,,,,,
4,J~*zz-Rock,Soft Rock,Yacht Rock,Pop Rock,,,
4,Progressive Pop,Dream P0p,Alt Rock,Neo-Psychedelia,,,
6,New Wave,Jangle Pop,Pop Rock,Alt Rock,Dream P0p,Post-Punk,
2,Sw~*ng,Jazz,,,,,
4,Motown Sound,Pop Soul,R&B,B~*bblegum,,,
7,Chamber Pop,Indie Pop,Chamber Music,Western Classical,Dream P0p,Alt Rock,Post-Rock
2,F0lk Rock,Singer/Songwriter,,,,,
6,Slowcore,Indie Rock,Alt Rock,F0lk Rock,Singer/Songwriter,Dream P0p,
2,Dream P0p,Alt Rock,,,,,
3,Dream P0p,Alt Rock,Shoegaze,,,,
4,Soft Rock,Pop Rock,Dream P0p,Alt Rock,,,
7,P0p Rap,Hip Hop,Electropop,Hip House,EDM,Electronic,Pop
3,Bl~*es Rock,Piano Rock,Pop Rock,,,,
4,Amb~*ent Pop,Dream P0p,Alt Rock,Television Soundtrack,,,
4,F0lk Rock,Baroque Pop,Psychedelic Folk,Contemporary Folk,,,
2,Dream P0p,Alt Rock,,,,,
3,Shoegaze,Alt Rock,N0ise P0p,,,,
3,N0ise P0p,Indie Rock,Alt Rock,,,,
2,Alt Rock,Dream P0p,,,,,
