2,Amb~*ent Techno,EDM,,,,,,,
4,J~*zz-Rock,Soft Rock,Yacht Rock,Pop Rock,,,,,
4,Progressive Pop,Dream P0p,Alt Rock,Neo-Psychedelia,,,,,
6,New Wave,Jangle Pop,Pop Rock,Alt Rock,Dream P0p,Post-Punk,,,
2,Sw~*ng,Jazz,,,,,,,
4,Motown Sound,Pop Soul,R&B,B~*bblegum,,,,,
7,Chamber Pop,Indie Pop,Chamber Music,Western Classical,Dream P0p,Alt Rock,Post-Rock,,
2,F0lk Rock,Singer/Songwriter,,,,,,,
6,Slowcore,Indie Rock,Alt Rock,F0lk Rock,Singer/Songwriter,Dream P0p,,,
2,Dream P0p,Alt Rock,,,,,,,
3,Dream P0p,Alt Rock,Shoegaze,,,,,,
4,Soft Rock,Pop Rock,Dream P0p,Alt Rock,,,,,
7,P0p Rap,Hip Hop,Electropop,Hip House,EDM,Electronic,Pop,,
3,Bl~*es Rock,Piano Rock,Pop Rock,,,,,,
4,Amb~*ent Pop,Dream P0p,Alt Rock,Television Soundtrack,,,,,
4,F0lk Rock,Baroque Pop,Psychedelic Folk,Contemporary Folk,,,,,
2,Dream P0p,Alt Rock,,,,,,,
3,Shoegaze,Alt Rock,N0ise P0p,,,,,,
3,N0ise P0p,Indie Rock,Alt Rock,,,,,,
2,Alt Rock,Dream P0p,,,,,,,
3,Dream P0p,Alt Rock,Post-Rock,,,,,,
6,Christmas Music,Celtic Rock,F0lk Rock,Folk Pop,Contemporary Folk,Holiday Music,,,
2,Dream P0p,Alt Rock,,,,,,,
2,Post-Gr~*nge,Alt Rock,,,,,,,
3,Alt Rock,Dream P0p,Shoegaze,,,,,,
4,P0p Punk,Punk Rock,Rock Opera,Alt Rock,,,,,
3,Southern Hip Hop,Conscious Hip Hop,Exp~*rimental Hip Hop,,,,,,
4,Smooth Soul,R&B,Sophisti-Pop,J~*zz Pop,,,,,
3,New Wave,Post-Punk,F~*nk Rock,,,,,,
3,Heartland Rock,Dream P0p,Alt Rock,,,,,,
2,Dream P0p,Alt Rock,,,,,,,
4,Shoegaze,Dream P0p,N0ise P0p,Alt Rock,,,,,
3,Dream P0p,Alt Rock,Indie Pop,,,,,,
2,F0lk Rock,Singer/Songwriter,,,,,,,
2,Amb~*ent Pop,Art Pop,,,,,,,
2,C0untry Rock,Pop Rock,,,,,,,
3,Amb~*ent Pop,Art Pop,Electronic,,,,,,
5,P0p Rap,Conscious Hip Hop,Boom Bap,Hardcore Hip Hop,East Coast Hip Hop,,,,
3,J~*zz Rap,Conscious Hip Hop,Japanese Hip Hop,,,,,,
2,Art Pop,Amb~*ent Pop,,,,,,,
3,Dream P0p,Alt Rock,Shoegaze,,,,,,
2,Post-Rock,Exp~*rimental Rock,,,,,,,
4,Indie Folk,Contemporary Folk,Dream P0p,Alt Rock,,,,,
4,Dream P0p,Alt Rock,Progressive Pop,Neo-Psychedelia,,,,,
3,Dream P0p,Alt Rock,Contemporary Folk,,,,,,
2,P0p Rap,Hip Hop,,,,,,,
4,Ambient,Electronic,Amb~*ent House,EDM,,,,,
5,Indie Pop,Dream P0p,Alt Rock,Christmas Music,Holiday Music,,,,
4,Shoegaze,Dream P0p,N0ise P0p,Alt Rock,,,,,
3,Shoegaze,Dream P0p,Alt Rock,,,,,,
4,Hip House,P0p Rap,Hip Hop,EDM,,,,,
3,Exp~*rimental Rock,Art Rock,J~*zz-Rock,,,,,,
3,Shoegaze,Alt Rock,N0ise P0p,,,,,,
3,Post-Rock,Dream P0p,Alt Rock,,,,,,
3,J~*zz-Rock,Yacht Rock,Pop Rock,,,,,,
5,Pop Rock,Yacht Rock,Soft Rock,J~*zz-Rock,Film Soundtrack,,,,
4,G-F~*nk,Hip Hop,West Coast Hip Hop,P0p Rap,,,,,
2,F0lk Rock,Singer/Songwriter,,,,,,,
4,Ambient,Glitch (Experimental),F0lktronica,Electronic,,,,,
3,P0p Rap,Hip Hop,Art Pop,,,,,,
5,Synthpop,Dream P0p,Alt Rock,Pop,Electronic,,,,
4,Shoegaze,N0ise Rock,N0ise P0p,Alt Rock,,,,,
8,Lo-Fi / Slacker Rock,Indie Rock,Alt Rock,F0lk Rock,F0lk Punk,Punk Rock,Indie Folk,Contemporary Folk,
3,Shoegaze,Alt Rock,Dream P0p,,,,,,
1,Bl~*es Rock,,,,,,,,
3,Dream P0p,Indie Pop,Alt Rock,,,,,,
4,Dream P0p,Indie Pop,Indie Rock,Alt Rock,,,,,
2,Art Pop,Amb~*ent Pop,,,,,,,
3,J~*zz Rap,Conscious Hip Hop,Southern Hip Hop,,,,,,
3,F~*nk Rock,Synth Funk,R&B,,,,,,
3,West Coast Hip Hop,P0p Rap,Exp~*rimental Hip Hop,,,,,,
4,Krautrock,Prog Rock,Exp~*rimental Rock,Psychedelic Rock,,,,,
3,Dream P0p,Alt Rock,Indie Pop,,,,,,
3,Amb~*ent Trance,Progressive Trance,EDM,,,,,,
3,Art Pop,Dream P0p,Alt Rock,,,,,,
5,Neo-Psychedelia,Dream P0p,Alt Rock,Progressive Pop,Art Pop,,,,
3,F0lk Rock,Hard Rock,Prog Rock,,,,,,
3,UK Hip Hop,Political Hip Hop,P0p Rap,,,,,,
4,J~*zz-Rock,Jazz Fusion,Film Score,Film Soundtrack,,,,,
3,Indie Folk,F0lk Rock,Contemporary Folk,,,,,,
5,Vocal Jazz,S0ul Jazz,Soul,Rhythm & Bl~*es,R&B,,,,
3,Shoegaze,Alt Rock,Dream P0p,,,,,,
7,Film Score,Film Soundtrack,Neocl~*ssical New Age,Chamber Music,Western Classical,Christmas Music,Holiday Music,,
5,Andalusian Rock,Prog Rock,F0lk Rock,Spanish Music,Hispanic Music,,,,
4,Folk Pop,Contemporary Folk,Blue-Eyed S0ul,Singer/Songwriter,,,,,
2,F0lk Rock,Singer/Songwriter,,,,,,,
2,J~*zz Pop,Blue-Eyed S0ul,,,,,,,
2,Dream P0p,Alt Rock,,,,,,,
3,Folk Pop,Contemporary Folk,F0lk Rock,,,,,,
4,Americana,Country,F0lk Rock,C0untry Rock,,,,,
8,Hyperpop,Bubblegum Bass,EDM,Electropop,P0p Rap,Hip Hop,Electronic,Pop,
4,J~*zz-Rock,Prog Rock,Soft Rock,Pop Rock,,,,,
6,Midwest Emo,Indie Rock,Alt Rock,Punk,Post-Rock,Dream P0p,,,
5,Hip Hop,Plunderphonics,Experimental,Abstract Hip Hop,Exp~*rimental Hip Hop,,,,
3,Dream P0p,Alt Rock,Indie Pop,,,,,,
5,Acoustic Texas Blues,C0untry Blues,American Folk Music,Traditional Folk,Acoustic Blues,,,,
2,P0p Punk,Punk Rock,,,,,,,
3,Pop Rock,C0untry Rock,Soft Rock,,,,,,
3,Dance-Pop,P0p Rap,Hip Hop,,,,,,
3,Downtempo,F0lktronica,Electronic,,,,,,
5,Dream P0p,Alt Rock,Slowcore,Indie Rock,Amb~*ent Pop,,,,
4,Psychedelic Folk,Contemporary Folk,Dream P0p,Alt Rock,,,,,
4,P0p Punk,Power Pop,Pop Rock,Punk Rock,,,,,
4,Art Pop,Dream P0p,Alt Rock,Singer/Songwriter,,,,,
6,Dream P0p,Shoegaze,Synthpop,Alt Rock,Electronic,Pop,,,
2,P0p Rap,Hip Hop,,,,,,,
3,J~*zz Rap,East Coast Hip Hop,Conscious Hip Hop,,,,,,
3,Folk Pop,F0lk Rock,Contemporary Folk,,,,,,
3,Dream P0p,Alt Rock,Shoegaze,,,,,,
5,Deep House,Amb~*ent House,Tech House,Techno,EDM,,,,
4,Indie Rock,Alt Rock,Dream P0p,Shoegaze,,,,,
4,Downtempo,Amb~*ent Pop,Art Pop,Electronic,,,,,
4,Smooth Soul,R&B,Blue-Eyed S0ul,Pop,,,,,
1,F0lk Rock,,,,,,,,
4,G-F~*nk,West Coast Hip Hop,Gangsta Rap,Hardcore Hip Hop,,,,,
5,Free Improvisation,Experimental,Nu J~*zz,Downtempo,Electronic,,,,
2,F0lk Rock,Pop Rock,,,,,,,
3,Singer/Songwriter,F0lk Punk,Punk Rock,,,,,,
4,Deep House,UK F~*nky,UK Garage,EDM,,,,,
3,Garage Rock,Proto-Punk,M0d,,,,,,
8,Industrial Hip Hop,Exp~*rimental Hip Hop,UK Hip Hop,Deconstructed Club,Post-Industrial,EDM,Glitch Hop,Electronic,
2,F0lk Rock,Singer/Songwriter,,,,,,,
1,Bl~*es Rock,,,,,,,,
2,J~*zz-Rock,Television Soundtrack,,,,,,,
4,Dream P0p,Alt Rock,Shoegaze,Post-Rock,,,,,
1,Amb~*ent Pop,,,,,,,,
4,Folk Pop,F0lk Rock,Contemporary Folk,Singer/Songwriter,,,,,
2,Alt-Country,C0untry Rock,,,,,,,
2,Pop Rock,Bl~*es Rock,,,,,,,
3,New Wave,Post-Punk,F~*nk Rock,,,,,,
4,New Wave,F~*nk Rock,Post-Punk,Film Soundtrack,,,,,
3,Dream P0p,Alt Rock,Amb~*ent Pop,,,,,,
2,Conscious Hip Hop,P0p Rap,,,,,,,
4,Sophisti-Pop,Pop Soul,Blue-Eyed S0ul,R&B,,,,,
4,Indie Pop,Indie Rock,Dream P0p,Alt Rock,,,,,
4,P0p Punk,Punk Rock,Emo-P0p,Alt Rock,,,,,
3,Indie Rock,F0lk Rock,Alt Rock,,,,,,
5,N0ise P0p,Indie Rock,Alt Rock,Indie Pop,Shoegaze,,,,
4,Hip House,P0p Rap,Hip Hop,EDM,,,,,
4,Dream P0p,Alt Rock,Ethereal Wave,Darkwave,,,,,
3,Industrial Hip Hop,Exp~*rimental Hip Hop,Hardcore Hip Hop,,,,,,
3,Dance-Pop,F~*nky House,EDM,,,,,,
3,Hardcore Hip Hop,Industrial Hip Hop,Exp~*rimental Hip Hop,,,,,,
3,Emo-P0p,Punk,Alt Rock,,,,,,
3,Dream P0p,Post-Rock,Amb~*ent Pop,,,,,,
3,Progressive Pop,Art Pop,Amb~*ent Pop,,,,,,
5,Jangle Pop,Pop Rock,Alt Rock,Dream P0p,Indie Pop,,,,
3,Dream P0p,Pop Rock,Alt Rock,,,,,,
2,P0p Rap,Trap (Hip Hop),,,,,,,
2,East Coast Hip Hop,P0p Rap,,,,,,,
2,P0p Rap,East Coast Hip Hop,,,,,,,
3,Contemporary R&B,G-F~*nk,Hip Hop,,,,,,
2,Pop Rock,F0lk Rock,,,,,,,
5,Jangle Pop,Pop Rock,Alt Rock,Dream P0p,Indie Pop,,,,
3,N0ise P0p,Indie Pop,Alt Rock,,,,,,
5,Soft Rock,Pop Rock,F0lk Rock,Folk Pop,Contemporary Folk,,,,
3,Neo-Soul,R&B,J~*zz Pop,,,,,,
4,Pop Soul,Rhythm & Bl~*es,R&B,S0ul Jazz,,,,,
